employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,no. of projects completed
100001,Technology,region_26,Bachelors,m,sourcing,1,24,2,1,1,0,77,5
100002,HR,region_4,Bachelors,f,other,1,31,3,5,0,0,51,0
100003,Sales & Marketing,region_13,Bachelors,m,other,1,31,1,4,0,0,47,0
100004,Procurement,region_2,Bachelors,f,other,3,31,2,9,0,0,65,0
100005,Finance,region_29,Bachelors,m,sourcing,1,30,4,7,0,0,61,0
100006,Procurement,region_7,Bachelors,m,sourcing,1,36,3,2,0,0,68,0
100007,Finance,region_2,Bachelors,m,other,1,33,5,3,1,0,57,5
100008,Analytics,region_22,Bachelors,m,sourcing,2,36,3,3,0,0,85,1
100009,Technology,region_7,Masters & above,m,other,1,51,4,11,0,0,75,0
100010,Technology,region_22,Bachelors,m,sourcing,1,29,5,2,1,0,76,5
100011,Sales & Marketing,region_16,Bachelors,m,sourcing,2,40,5,12,1,0,50,5
100012,Sales & Marketing,region_17,Masters & above,m,sourcing,1,40,3,10,0,0,46,0
100013,Sales & Marketing,region_4,Masters & above,f,other,1,34,3,4,0,0,52,0
100014,Analytics,region_24,Bachelors,m,other,1,37,3,10,0,0,82,1
100015,Operations,region_11,Bachelors,m,sourcing,1,30,5,6,1,0,58,5
100016,Sales & Marketing,region_7,Bachelors,m,sourcing,1,31,4,4,1,0,47,5
100017,Operations,region_27,Bachelors,f,sourcing,1,26,5,3,0,0,56,0
100018,Sales & Marketing,region_17,Bachelors,m,sourcing,1,40,5,6,1,0,50,5
100019,Procurement,region_7,Bachelors,f,other,1,49,3,7,1,0,64,5
100020,Procurement,region_27,Bachelors,m,other,1,27,2,5,0,0,65,0
100021,Sales & Marketing,region_9,Masters & above,m,sourcing,1,37,5,3,0,0,47,0
100022,Technology,region_17,Bachelors,m,sourcing,1,25,3,1,0,0,80,1
100023,Technology,region_29,Masters & above,m,sourcing,1,30,1,3,0,0,83,1
100024,Procurement,region_4,Masters & above,m,other,1,41,3,4,0,0,76,0
100025,Finance,region_20,Bachelors,f,other,1,29,4,6,1,0,58,5
100026,Operations,region_20,Bachelors,m,other,1,33,3,7,1,1,62,5
100027,Sales & Marketing,region_17,Masters & above,m,sourcing,1,34,4,6,1,0,50,5
100028,Analytics,region_13,Bachelors,m,sourcing,1,34,3,3,1,0,87,10
100029,Operations,region_22,Bachelors,m,other,1,52,1,10,0,0,61,0
100030,Sales & Marketing,region_34,Bachelors,m,sourcing,1,30,2,3,0,0,50,0
100031,Analytics,region_2,Masters & above,m,sourcing,2,34,4,7,0,0,87,1
100032,Sales & Marketing,region_2,Bachelors,m,sourcing,2,43,1,14,0,0,52,0
100033,Technology,region_17,Bachelors,m,other,1,29,3,1,1,0,85,10
100034,Sales & Marketing,region_2,Bachelors,f,sourcing,1,35,3,3,1,0,52,5
100035,Technology,region_22,Masters & above,m,other,4,40,3,12,0,0,77,0
100036,Technology,region_23,Bachelors,m,sourcing,2,33,4,9,0,0,83,1
100037,Sales & Marketing,region_8,Masters & above,m,other,1,30,3,2,1,0,55,5
100038,Sales & Marketing,region_14,Bachelors,f,sourcing,2,42,1,3,1,0,46,5
100039,Sales & Marketing,region_22,Bachelors,m,sourcing,3,29,1,3,0,0,51,0
100040,Analytics,region_22,Bachelors,m,other,1,25,1,1,0,0,88,1
100041,Analytics,region_26,Bachelors,m,sourcing,1,26,5,4,1,0,90,10
100042,Sales & Marketing,region_31,Bachelors,m,other,1,27,2,3,0,0,52,0
100043,Operations,region_13,Bachelors,m,other,1,34,5,5,1,0,66,5
100044,Sales & Marketing,region_31,Bachelors,m,sourcing,1,26,4,5,0,0,45,0
100045,Technology,region_2,Bachelors,f,other,1,52,5,18,0,0,80,1
100046,Sales & Marketing,region_7,Bachelors,m,other,1,26,5,2,1,0,54,5
